Model,Best_CV_Score,Accuracy,Precision_0,Recall_0,F1_Score_0,Precision_1,Recall_1,F1_Score_1,Macro_Avg_F1
LightGBM,0.8257764701890113,0.8324942791762013,0.8660707579058063,0.9096646942800789,0.8873326150531015,0.7252219822414206,0.6289281997918834,0.6736513597860009,0.7804919874195512
XGBoost,0.8208822280008123,0.8306636155606407,0.8666867970106439,0.9057988165680473,0.8858112799938276,0.7179305457122608,0.6324661810613944,0.6724939145828723,0.77915259728835
CatBoost,0.8247298972391022,0.8305491990846682,0.86142740194984,0.9132149901380671,0.8865655637254902,0.7279248083106604,0.6124869927159209,0.6652350813743219,0.775900322549906
RandomForest,0.8218364269465119,0.8289473684210527,0.8558830013963401,0.9188165680473372,0.8862339243588768,0.7343144848954299,0.5918834547346514,0.6554505646462319,0.7708422445025543
